english_name,display_name
Lining,内衬
No shirring,无抽褶
Corset lacing,束腰系带
Long sleeves,长袖
Detachable bow,可拆卸蝴蝶结
Partial shirring,半抽褶
Side zip,侧边拉链
Detachable waist ties,可拆卸腰带
Tiered skirt,蛋糕裙
Short sleeves,短袖
High waist,高腰
Pockets,口袋
Back shirring,素鸡
Pintucks,打条
Peter pan collar,娃娃领
Full shirring,  全褶
Adjustable straps,可调节
Detachable trim,可拆卸领子
Pleats,细褶
High neck collar,高领
Neck ties,领带
Long sleeve,长袖
Bustled,巴斯尔裙衬
Empire waist,高腰
Removable waist ribbon,可拆卸腰部蝴蝶结
Scalloped,扇形边
Detachable sleeves,可拆卸袖子
Dropped waist,低腰
Removable collar,可拆卸领子
Boning,鱼骨
Tucks,塔克线
Removable belt,可拆卸腰带
Short sleeve,短袖
Princess sleeves,姬袖
Halter neckline,露背领
Jabot,领饰
Capelet,披肩
Removable sash,绶带
Built-in petticoat,带斗篷
Convertible straps,可调节肩带
Underbust,托胸
Detachable apron,可拆卸围裙
Detachable yoke,担干
Sailor Collar,水手领